CSAFP,geo_id,csa_name,csa_pop,city_pop,state,city
222,0121184,"Dothan-Enterprise-Ozark, AL",258863,71577,Alabama,Dothan
300,1235000,"Jacksonville-Kingsland-Palatka, FL-GA",1847313,985837,Florida,Jacksonville
372,4848072,"Midland-Odessa-Andrews, TX",365482,138362,Texas,Midland
238,4824000,"El Paso-Las Cruces, TX-NM",1098541,678945,Texas,El Paso
533,1270600,"Tallahassee-Bainbridge, FL-GA",421732,202222,Florida,Tallahassee
380,0150000,"Mobile-Daphne-Fairhope, AL",665147,182594,Alabama,Mobile
264,1225175,"Gainesville-Lake City, FL",425189,145800,Florida,Gainesville
132,2205000,"Baton Rouge-Hammond, LA",1011725,219563,Louisiana,Baton Rouge
318,2240735,"Lafayette-New Iberia-Opelousas, LA",563411,121452,Louisiana,Lafayette
324,2241155,"Lake Charles-DeRidder, LA",276909,79647,Louisiana,Lake Charles
406,2255000,"New Orleans-Metairie-Slidell, LA-MS",1340591,364136,Louisiana,New Orleans
422,1253000,"Orlando-Lakeland-Deltona, FL",4509624,320753,Florida,Orlando
288,4835000,"Houston-Pasadena, TX",7706626,2311461,Texas,Houston
484,4865000,"San Antonio-New Braunfels-Kerrville, TX",2785647,1495312,Texas,San Antonio
544,4875428,"Victoria-Port Lavaca, TX",118504,65800,Texas,Victoria
412,1249675,"North Port-Bradenton, FL",1152221,88931,Florida,North Port
163,1210275,"Cape Coral-Fort Myers-Naples, FL",1295002,224452,Florida,Cape Coral
204,4817000,"Corpus Christi-Kingsville-Alice, TX",523902,316603,Texas,Corpus Christi
370,1245000,"Miami-Port St. Lucie-Fort Lauderdale, FL",7011936,455955,Florida,Miami
365,4845384,"McAllen-Edinburg, TX",964405,146599,Texas,McAllen
154,4810768,"Brownsville-Harlingen-Raymondville, TX",446747,190166,Texas,Brownsville
