fid,OBJECTID,FEATURE,NAME,ST_ABBREV,FIPS,PLACE_FIPS,geo_id,city_name,city_pop,fid_2,CSAFP,GEOID,GEOIDFQ,NAME_2,NAMELSAD,LSAD,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,csa_name,csa_pop
"5924","5924","10,000 - 49,999",Caldwell,ID,"16027","12250","1612250","Caldwell, Idaho","68339","112","147","147",330M700US147,"Boise City-Mountain Home-Ontario, ID-OR","Boise City-Mountain Home-Ontario, ID-OR CSA",M0,G3100,"65102645928","357211609","+43.1502054","-116.6385243","Boise City-Mountain Home-Ontario, ID-OR","913704"
"5962","5962","250,000 - 499,999",Buffalo,NY,"36029","11000","3611000","Buffalo, New York","274686","114","160","160",330M700US160,"Buffalo-Cheektowaga-Olean, NY","Buffalo-Cheektowaga-Olean, NY CSA",M0,G3100,"7441796635","2112432297","+42.7528037","-078.7396939","Buffalo-Cheektowaga-Olean, NY","1231204"
"5999","5999","50,000 - 99,999",Appleton,WI,"55087","02375","5502375","Appleton, Wisconsin","75861","49","118","118",330M700US118,"Appleton-Oshkosh-Neenah, WI","Appleton-Oshkosh-Neenah, WI CSA",M0,G3100,"3601390800","595052827","+44.2906032","-088.3723255","Appleton-Oshkosh-Neenah, WI","418168"
"6002","6002","100,000 - 249,999",Waterbury,CT,"09009","80000","0980000","Waterbury, Connecticut","114994","105","405","405",330M700US405,"New Haven-Hartford-Waterbury, CT","New Haven-Hartford-Waterbury, CT CSA",M0,G3100,"10800479449","1262415415","+41.6368458","-072.6152118","New Haven-Hartford-Waterbury, CT","2665618"
"6003","6003","10,000 - 49,999",Lakeville,MN,"27037","35180","2735180","Lakeville, Minnesota","76235","156","378","378",330M700US378,"Minneapolis-St. Paul, MN-WI","Minneapolis-St. Paul, MN-WI CSA",M0,G3100,"28418069793","1513211336","+45.0450358","-093.4695506","Minneapolis-St. Paul, MN-WI","4104786"
"6065","6065","10,000 - 49,999",Meridian,ID,"16001","52120","1652120","Meridian, Idaho","134794","112","147","147",330M700US147,"Boise City-Mountain Home-Ontario, ID-OR","Boise City-Mountain Home-Ontario, ID-OR CSA",M0,G3100,"65102645928","357211609","+43.1502054","-116.6385243","Boise City-Mountain Home-Ontario, ID-OR","913704"
"6118","6118",no data,Boise,ID,"16001","08830","1608830","Boise City, Idaho","235416","112","147","147",330M700US147,"Boise City-Mountain Home-Ontario, ID-OR","Boise City-Mountain Home-Ontario, ID-OR CSA",M0,G3100,"65102645928","357211609","+43.1502054","-116.6385243","Boise City-Mountain Home-Ontario, ID-OR","913704"
"6156","6156","50,000 - 99,999",Nampa,ID,"16027","56260","1656260","Nampa, Idaho","114261","112","147","147",330M700US147,"Boise City-Mountain Home-Ontario, ID-OR","Boise City-Mountain Home-Ontario, ID-OR CSA",M0,G3100,"65102645928","357211609","+43.1502054","-116.6385243","Boise City-Mountain Home-Ontario, ID-OR","913704"
"6283","6283","50,000 - 99,999",Medford,OR,"41029","47000","4147000","Medford, Oregon","85100","75","366","366",330M700US366,"Medford-Grants Pass, OR","Medford-Grants Pass, OR CSA",M0,G3100,"11452670267","52406621","+42.3903562","-123.0395755","Medford-Grants Pass, OR","308589"
"6337","6337","100,000 - 249,999",New Haven,CT,"09009","52000","0952000","New Haven, Connecticut","135307","105","405","405",330M700US405,"New Haven-Hartford-Waterbury, CT","New Haven-Hartford-Waterbury, CT CSA",M0,G3100,"10800479449","1262415415","+41.6368458","-072.6152118","New Haven-Hartford-Waterbury, CT","2665618"
"6402","6402","50,000 - 99,999",Oshkosh,WI,"55139","60500","5560500","Oshkosh, Wisconsin","66184","49","118","118",330M700US118,"Appleton-Oshkosh-Neenah, WI","Appleton-Oshkosh-Neenah, WI CSA",M0,G3100,"3601390800","595052827","+44.2906032","-088.3723255","Appleton-Oshkosh-Neenah, WI","418168"
"6413","6413","50,000 - 99,999",Danbury,CT,"09001","18430","0918430","Danbury, Connecticut","86125","28","408","408",330M700US408,"New York-Newark, NY-NJ-CT-PA","New York-Newark, NY-NJ-CT-PA CSA",M0,G3100,"29218527488","7425201147","+41.0492719","-073.9729499","New York-Newark, NY-NJ-CT-PA","21859598"
"6697","6697","100,000 - 249,999",Bridgeport,CT,"09001","08000","0908000","Bridgeport, Connecticut","148006","28","408","408",330M700US408,"New York-Newark, NY-NJ-CT-PA","New York-Newark, NY-NJ-CT-PA CSA",M0,G3100,"29218527488","7425201147","+41.0492719","-073.9729499","New York-Newark, NY-NJ-CT-PA","21859598"
"6891","6891","50,000 - 99,999",Norwalk,CT,"09001","55990","0955990","Norwalk, Connecticut","92460","28","408","408",330M700US408,"New York-Newark, NY-NJ-CT-PA","New York-Newark, NY-NJ-CT-PA CSA",M0,G3100,"29218527488","7425201147","+41.0492719","-073.9729499","New York-Newark, NY-NJ-CT-PA","21859598"
"7024","7024","50,000 - 99,999",Rochester,MN,"27109","54880","2754880","Rochester, Minnesota","122404","92","462","462",330M700US462,"Rochester-Austin-Winona, MN","Rochester-Austin-Winona, MN CSA",M0,G3100,"9879796386","115631330","+43.9217396","-092.3253950","Rochester-Austin-Winona, MN","318856"
