csafp,csa_name,CSA_Pop,city_name,city_pop,lat,long
540,"Tyler-Jacksonville, TX",297426,"Tyler, Texas",110325,32.34832885,-95.33072188676054
542,"Union City-Martin, TN",63495,NA,NA,NA,NA
544,"Victoria-Port Lavaca, TX",118504,"Victoria, Texas",65800,28.6751665,-96.95659311236652
545,"Virginia Beach-Chesapeake, VA-NC",1866723,"Portsmouth, Virginia",96793,NA,NA
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",10069592,"Germantown CDP, Maryland",96698,NA,NA
554,"Wausau-Stevens Point-Wisconsin Rapids, WI",283575,NA,NA,NA,NA
555,"Weatherford-Elk City, OK",61044,NA,NA,NA,NA
556,"Wichita-Arkansas City-Winfield, KS",687096,"Wichita, Kansas",396123,NA,NA
558,"Williamsport-Lock Haven, PA",150331,NA,NA,NA,NA
566,"Youngstown-Warren-Salem, OH",526151,NA,NA,NA,NA
